iso2,zip_code,location
AT,1010,Wien
AT,1020,Wien
AT,1030,Wien
AT,1040,Wien
AT,1050,Wien
AT,1060,Wien
AT,1070,Wien
AT,1080,Wien
AT,1090,Wien
AT,1100,Wien
AT,1110,Wien
AT,1120,Wien
AT,1130,Wien
AT,1140,Wien
AT,1150,Wien
AT,1160,Wien
AT,1170,Wien
AT,1180,Wien
AT,1190,Wien
AT,1200,Wien
AT,1210,Wien
AT,1220,Wien
AT,1230,Wien
AT,1300,Wien-Flughafen
AT,2000,Stockerau
AT,2002,Großmugl
AT,2003,Leitzersdorf
AT,2004,Niederhollabrunn
AT,2011,Sierndorf
AT,2013,Göllersdorf
AT,2014,Breitenwaida
AT,2020,Hollabrunn
AT,2022,Immendorf
AT,2023,Nappersdorf
AT,2024,Mailberg
AT,2031,Eggendorf im Thale
AT,2032,Enzersdorf im Thale
AT,2033,Kammersdorf
AT,2034,Großharras
AT,2041,Wullersdorf
AT,2042,Guntersdorf
AT,2051,Zellerndorf
AT,2052,Pernersdorf-Pfaffendorf
AT,2053,Jetzelsdorf
AT,2054,Haugsdorf
AT,2061,Hadres
AT,2062,Seefeld-Großkadolz
AT,2063,Zwingendorf
AT,2064,Wulzeshofen
AT,2070,Retz
AT,2073,Schrattenthal
AT,2074,Unterretzbach
AT,2081,Niederfladnitz
AT,2082,Hardegg
AT,2083,Pleißing
AT,2084,Weitersfeld
AT,2091,Langau
AT,2092,Riegersburg
AT,2093,Geras
AT,2094,Zissersdorf
AT,2095,Drosendorf
AT,2100,Korneuburg
AT,2102,Bisamberg
AT,2103,Langenzersdorf
AT,2104,Spillern
AT,2105,Oberrohrbach
AT,2111,Rückersdorf-Harmannsdorf
AT,2112,Würnitz
AT,2113,Karnabrunn
AT,2114,Großrußbach
AT,2115,Ernstbrunn
AT,2116,Niederleis
AT,2120,Wolkersdorf im Weinviertel
AT,2122,Ulrichskirchen
AT,2123,Schleinbach
AT,2124,Niederkreuzstetten
AT,2125,Neubau
AT,2126,Ladendorf
AT,2130,Mistelbach
AT,2132,Frättingsdorf
AT,2133,Loosdorf
AT,2134,Staatz-Kautendorf
AT,2135,Neudorf im Weinviertel
AT,2136,Laa an der Thaya
AT,2141,Ameis
AT,2143,Großkrut
AT,2144,Altlichtenwarth
AT,2145,Hausbrunn
AT,2151,Asparn an der Zaya
AT,2152,Gnadendorf
AT,2153,Stronsdorf
