iso2,location,zip_code,route, 
FR,ARBENT,01100,,
FR,VALROMEY SUR SERAN,01260,BELMONT LUTHEZIEU,
FR,VALROMEY SUR SERAN,01260,FITIGNIEU,
FR,VALROMEY SUR SERAN,01260,LOMPNIEU,
FR,VALROMEY SUR SERAN,01260,LUTHEZIEU,
FR,BEY,01290,,
FR,BOURG ST CHRISTOPHE,01800,MARFOZ,
FR,BRENS,01300,,
FR,BRESSOLLES,01360,,
FR,BRION,01460,,
FR,BUELLAS,01310,,
FR,CHALLEX,01630,,
FR,NIVIGNE ET SURAN,01250,CHAVANNES SUR SURAN,
FR,CHEVRY,01170,,
FR,CHEZERY FORENS,01410,,
FR,CRANS,01320,,
FR,BRESSE VALLONS,01340,CRAS SUR REYSSOUZE,
FR,CRESSIN ROCHEFORT,01350,,
FR,DIVONNE LES BAINS,01220,,
FR,DORTAN,01590,,
FR,DROM,01250,,
FR,DRUILLAT,01160,,
FR,ECHENEVEX,01170,,
FR,FAREINS,01480,,
FR,FOISSIAT,01340,,
FR,FRANCHELEINS,01090,CESSEINS,
FR,GRIEGES,01290,,
FR,GROISSIAT,01100,,
FR,HAUTECOURT ROMANECHE,01250,ROMANECHE,
FR,PLATEAU D HAUTEVILLE,01110,THEZILLIEU,
FR,HAUT VALROMEY,01260,SONGIEU,
FR,ILLIAT,01140,,
FR,INJOUX GENISSIAT,01200,,
FR,JASSERON,01250,,
FR,JAYAT,01340,,
FR,JOYEUX,01800,,
FR,LAGNIEU,01150,,
FR,LOMPNAS,01680,,
FR,MAGNIEU,01300,,
FR,MEILLONNAS,01370,,
FR,MEZERIAT,01660,,
FR,MISERIEUX,01600,,
FR,NURIEUX VOLOGNAT,01460,VOLOGNAT,
FR,NEYRON,01700,,
FR,ONCIEU,01230,,
FR,OUTRIAZ,01430,,
FR,PARVES ET NATTAGES,01300,NATTAGES,
FR,PERONNAS,01960,,
FR,PEYRIEU,01300,,
FR,PIRAJOUX,01270,,
FR,LE PLANTAY,01330,,
FR,PRIAY,01160,,
FR,REVONNAS,01250,,
FR,STE CROIX,01120,,
FR,ST DIDIER D AUSSIAT,01340,,
FR,ST DIDIER DE FORMANS,01600,,
FR,ST GERMAIN LES PAROISSES,01300,,
FR,ST LAURENT SUR SAONE,01750,,
FR,ST MARTIN DU FRENE,01430,,
FR,ST MARTIN DU MONT,01160,,
FR,ST MARTIN LE CHATEL,01310,,
FR,ST MAURICE DE GOURDANS,01800,,
FR,ST MAURICE DE REMENS,01500,,
FR,ST NIZIER LE BOUCHOUX,01560,,
FR,ST PAUL DE VARAX,01240,,
FR,ST REMY,01310,,
FR,ST TRIVIER DE COURTES,01560,,
FR,ST TRIVIER SUR MOIGNANS,01990,,
FR,SAMOGNAT,01580,,
FR,SAUVERNY,01220,,
FR,SONTHONNAX LA MONTAGNE,01580,,
FR,SONTHONNAX LA MONTAGNE,01580,NAPT,
FR,TRAMOYES,01390,,
FR,VERNOUX,01560,,
FR,VIEU D IZENAVE,01430,,
FR,VILLES,01200,,
FR,ARVIERE EN VALROMEY,01260,BRENAZ,
FR,ARVIERE EN VALROMEY,01260,CHAVORNAY,
FR,ARVIERE EN VALROMEY,01260,LOCHIEU,
FR,ARVIERE EN VALROMEY,01260,VIRIEU LE PETIT,
FR,VONNAS,01540,,
FR,AISONVILLE ET BERNOVILLE,02110,,
FR,ALLEMANT,02320,,
FR,ANIZY LE GRAND,02320,LIZY,
FR,ASSIS SUR SERRE,02270,,
FR,AUBENTON,02500,,
FR,AUDIGNICOURT,02300,,
FR,BARENTON CEL,02000,,
FR,BARZY EN THIERACHE,02170,,
FR,VALLEES EN CHAMPAGNE,02330,LA CHAPELLE MONTHODON,
FR,BEAUMONT EN BEINE,02300,,
FR,BEAUTOR,02800,,
FR,BELLICOURT,02420,,
FR,BERNY RIVIERE,02290,,
FR,BERTHENICOURT,02240,,
FR,BESNY ET LOIZY,02870,,
FR,BETHANCOURT EN VAUX,02300,,
FR,BEUVARDES,02130,,
FR,BEZU ST GERMAIN,02400,,
FR,BILLY SUR OURCQ,02210,,
FR,BLANZY LES FISMES,02160,,
FR,BONCOURT,02350,,
FR,BRAINE,02220,,
FR,BRANCOURT LE GRAND,02110,,
FR,BRISSAY CHOIGNY,02240,,
